block_num,Ei
1806,1527.289986
1807,234215.4204
1808,263465.6271
1809,645.0747943
1810,3186.051095
1811,40986.11496
1812,234215.4204
1813,3186.051095
1814,60175.40777
1815,1503.494536
1816,44909.39994
1817,1210.119611
1818,12962.16887
1819,65243.93693
1820,60175.40777
1821,12962.05988
1822,64868.77782
1823,3186.051095
1824,1210.119611
1825,1503.494536
1826,40986.11496
1827,6342.671932
1828,2400.975119
1829,33753.41494
1830,64448.92312
1831,56182.44674
1832,30358.36191
1833,26463.62292
1834,65243.93693
1835,37619.60793
1836,2400.975119
1837,12933.51389
1838,55762.59203
1839,12962.05988
1840,12933.51389
1841,2057.978673
1842,1062.017032
2000,0.042667554
2001,3475.932
2002,1386.010756
2003,0.085335108
2004,1268.534386
2005,0.021333777
2006,1848.014341
2007,743.6257913
2008,4248.361333
2009,21276.56172
2010,0.021333777
2011,3475.932
2012,1570.81219
2013,1293.610039
2014,0.277339102
2015,1268.534386
2016,3475.932
2017,0
2018,1663.212907
2019,743.6257913
2020,20156.74268
2021,4248.361333
2022,6292.969045
2023,0
2024,1268.534386
2025,199.9855887
2026,0
2027,0
2028,1755.613624
2029,0
2030,3089.717333
2031,386.9508998
2032,17917.10461
2033,3475.932
2034,0.320006656
2035,1268.534386
2036,0
2037,386.9508998
2038,1293.610039
2039,0
2040,3089.717333
2041,32.62607208
2042,3589.466379
2043,1268.534386
2044,77.39017997
2045,3475.932
2046,3089.717333
2047,3089.717333
2048,0
2049,0.14933644
2050,554.4043024
2051,2537.068773
2052,0.064001331
2053,0.021333777
2054,2537.068773
2055,77.39017997
2056,0.085335108
2057,199.9855887
2058,0.021333777
2059,1268.534386
2060,743.6257913
2061,743.6257913
2062,772.4293332
2063,3589.466379
2064,0
2065,0
2066,3589.466379
2067,0
2100,3862.146666
2101,1201.209322
2102,0.298672879
2103,3862.146666
2104,3475.932
2105,1201.209322
2106,1478.411473
2107,13437.82846
2108,3475.932
2109,154.7803599
2110,3862.146666
2111,206.3738132
2112,1478.411473
2113,0.256005325
2114,3862.146666
2115,3805.603159
2116,11198.19038
2117,206.3738132
2118,3805.603159
2119,3805.603159
2120,3805.603159
3000,1294.77481
3001,85.16618038
3002,2124.034064
3003,2655.042579
3004,315.857031
3005,21313.4375
3006,6827.769687
3007,12.40384525
3008,2661.244502
3009,157.9285155
3010,26234.54221
3011,41185.572
3012,78.96425776
3013,4248.068127
3014,531.0085159
3015,16941.45032
3016,9926.312366
3017,473.7855466
3018,1062.017032
3019,45304.1292
3020,201.1805241
3021,32948.4576
3022,9403.874873
3023,9403.874873
3024,2655.042579
3025,12.40384525
3026,394.8212888
3027,41185.572
3028,26234.54221
3029,4826.405679
3030,45304.1292
